,借,稅,借用他人,借名,利用他人,利用,借用,借牌,借用名義,借名登記,借名契約,出借牌照,用人頭,出借人,借用人,帳戶,股票,不動產,投標,營業,執業,靠行,稅法,民法,信託
借,0,202,36,71,15,103,165,112,17,48,13,18,16,4,24,50,58,65,52,182,43,2,157,188,82
稅,202,0,26,52,13,82,143,68,14,34,10,11,16,4,22,46,54,56,31,156,29,2,157,147,74
借用他人,36,26,0,23,5,14,36,16,11,12,5,6,2,2,6,6,12,9,16,18,4,0,16,26,16
借名,71,52,23,0,6,29,43,17,13,48,13,4,11,2,9,19,26,25,13,40,7,0,34,57,39
利用他人,15,13,5,6,0,15,14,9,4,5,2,4,4,2,2,7,10,11,6,13,2,1,12,12,9
利用,103,82,14,29,15,0,70,46,7,22,11,7,10,2,14,26,31,54,26,76,19,2,65,73,35
借用,165,143,36,43,14,70,0,44,17,27,10,12,11,4,24,34,45,42,32,123,19,1,122,122,59
借牌,112,68,16,17,9,46,44,0,7,8,4,18,5,2,6,23,19,26,50,79,32,2,40,74,29
借用名義,17,14,11,13,4,7,17,7,0,5,2,3,3,2,3,5,10,4,6,13,1,0,10,12,11
借名登記,48,34,12,48,5,22,27,8,5,0,12,1,7,2,6,12,16,23,6,22,4,0,21,42,28
借名契約,13,10,5,13,2,11,10,4,2,12,0,1,2,1,2,6,5,13,3,8,3,0,6,12,7
出借牌照,18,11,6,4,4,7,12,18,3,1,1,0,0,1,0,5,3,3,12,13,3,0,9,12,4
用人頭,16,16,2,11,4,10,11,5,3,7,2,0,0,2,7,10,11,10,3,10,2,1,11,12,11
出借人,4,4,2,2,2,2,4,2,2,2,1,1,2,0,1,2,3,2,2,3,1,1,3,4,3
借用人,24,22,6,9,2,14,24,6,3,6,2,0,7,1,0,7,10,13,6,19,2,0,17,18,11
帳戶,50,46,6,19,7,26,34,23,5,12,6,5,10,2,7,0,26,21,8,42,11,1,41,38,28
股票,58,54,12,26,10,31,45,19,10,16,5,3,11,3,10,26,0,25,10,47,11,1,46,42,36
不動產,65,56,9,25,11,54,42,26,4,23,13,3,10,2,13,21,25,0,12,47,13,2,41,51,31
投標,52,31,16,13,6,26,32,50,6,6,3,12,3,2,6,8,10,12,0,34,9,1,17,35,16
營業,182,156,18,40,13,76,123,79,13,22,8,13,10,3,19,42,47,47,34,0,30,2,136,132,63
執業,43,29,4,7,2,19,19,32,1,4,3,3,2,1,2,11,11,13,9,30,0,1,20,28,10
靠行,2,2,0,0,1,2,1,2,0,0,0,0,1,1,0,1,1,2,1,2,1,0,2,1,2
稅法,157,157,16,34,12,65,122,40,10,21,6,9,11,3,17,41,46,41,17,136,20,2,0,117,59
民法,188,147,26,57,12,73,122,74,12,42,12,12,12,4,18,38,42,51,35,132,28,1,117,0,74
信託,82,74,16,39,9,35,59,29,11,28,7,4,11,3,11,28,36,31,16,63,10,2,59,74,0
