filename,text_len,has_借,count_借,has_借名,count_借名,has_借名登記,count_借名登記,has_借牌,count_借牌,has_借用,count_借用,has_借用名義,count_借用名義,has_利用,count_利用,has_執業,count_執業,has_帳戶,count_帳戶,has_投標,count_投標,has_營業,count_營業,has_稅,count_稅,has_股票,count_股票,has_靠行,count_靠行,excluded,hit_all,hit_any,threshold_ok,regex_ok,final_pass
吳從周 - 我國不動產借名登記契約之發展現狀－特別著重觀察內部效力與外部效力演變之互動.pdf,21536,True,281,True,274,True,167,False,0,True,6,False,0,True,2,False,0,False,0,False,0,False,0,True,10,False,0,False,0,False,True,True,True,True,True
李建良 - 原住民保留地「借名登記契約」的效力－公法規定的私法效力，或私法自治的公法限制？.pdf,6440,True,12,True,12,True,12,False,0,False,0,False,0,True,8,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,True,False,True,False
李維中 - 農地借名登記問題探討－以刪除前土地法第 30 條適用範圍及當事人間契約有效性為核心.pdf,27748,True,260,True,234,True,122,False,0,True,14,False,0,True,4,False,0,False,0,False,0,False,0,True,2,False,0,False,0,False,True,True,True,True,True
林大洋 - 借名登記對外效力之探討－法學方法與債法現代化之思考.pdf,15623,True,148,True,141,True,86,False,0,True,5,True,1,False,0,False,0,False,0,False,0,False,0,True,8,True,1,False,0,False,True,True,True,True,True
林慶郎 - 自耕能力與借名登記－最高法院 107 年度台上字第 1023 號判決評析.pdf,11988,True,85,True,81,True,72,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,True,False,True,False
林誠二 - 借名登記財產之請求返還方式.pdf,3015,True,49,True,49,True,28,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,True,True,True,True,True
林誠二 - 由借名登記契約論不動產物權變動登記之效力.pdf,149819,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,False,False,True,False
涂軼 - 淺談商標借名登記.pdf,4727,True,51,True,43,True,36,False,0,True,7,False,0,True,1,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,False,True,False,True,False
王怡蘋 - 借名登記之相關法律效力－最高法院 108 年度台上大字第 1652 號裁定.pdf,3196,True,25,True,23,True,8,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,True,False,True,False
簡秀如 and 吳詩儀 - 專利證書所示之專利權人是否真為實質權利人？—專利權人之借名登記.pdf,5629,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,False,False,True,False
簡秀如 and 吳詩儀 - 真正創作人得就專利申請權與他人成立借名登記契約.pdf,5316,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,False,False,True,False
蔡旻耿 - 原住民保留地借名登記之法律關係－兼評最高法院 108 年台上大字第 1636 號民事裁定.pdf,23416,True,233,True,228,True,186,False,0,True,3,False,0,True,11,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,True,False,True,False
蔡旻耿 and 陳靜瑩 - 不動產借名登記契約之負擔行為與處分行為.pdf,37684,True,245,True,234,True,128,False,0,True,10,False,0,False,0,False,0,True,1,False,0,False,0,True,2,False,0,False,0,False,True,True,True,True,True
蔡晶瑩 - 論借名登記契約／最高院 100 台上 2101 判決.pdf,3272,True,62,True,62,True,35,False,0,False,0,False,0,True,4,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,True,False,True,False
蔡瑞麟 - 原借名登記因死亡消滅，繼承人未辦繼承登記前借名登記契約無效？－簡評最高法院 106 台上 1222 號判決.pdf,4431,True,91,True,90,True,61,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,True,False,True,False
蔣文正 - 專利與借名登記.pdf,2573,True,16,True,14,True,6,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,False,True,False,True,False
