,借,稅,借用他人,借名,利用他人,利用,借用,借牌,借用名義,借名登記,借名契約,出借牌照,用人頭,出借人,借用人,帳戶,股票,不動產,投標,營業,執業,靠行,稅法,民法,信託
借,0,200,36,70,13,101,163,110,17,47,13,17,15,4,23,48,56,63,50,180,42,2,155,186,80
稅,200,0,26,51,11,80,141,66,14,33,10,10,15,4,21,44,52,54,29,154,28,2,155,145,72
借用他人,36,26,0,23,5,14,36,16,11,12,5,6,2,2,6,6,12,9,16,18,4,0,16,26,16
借名,70,51,23,0,5,28,42,16,13,47,13,4,10,2,8,18,25,24,12,39,6,0,33,56,38
利用他人,13,11,5,5,0,13,12,7,4,4,2,3,3,2,1,5,8,9,4,11,1,1,10,10,7
利用,101,80,14,28,13,0,68,44,7,21,11,6,9,2,13,24,29,52,24,74,18,2,63,71,33
借用,163,141,36,42,12,68,0,42,17,26,10,11,10,4,23,32,43,40,30,121,18,1,120,120,57
借牌,110,66,16,16,7,44,42,0,7,7,4,17,4,2,5,21,17,24,48,77,31,2,38,72,27
借用名義,17,14,11,13,4,7,17,7,0,5,2,3,3,2,3,5,10,4,6,13,1,0,10,12,11
借名登記,47,33,12,47,4,21,26,7,5,0,12,1,6,2,5,11,15,22,5,21,3,0,20,41,27
借名契約,13,10,5,13,2,11,10,4,2,12,0,1,2,1,2,6,5,13,3,8,3,0,6,12,7
出借牌照,17,10,6,4,3,6,11,17,3,1,1,0,0,1,0,4,2,2,11,12,3,0,8,11,3
用人頭,15,15,2,10,3,9,10,4,3,6,2,0,0,2,6,9,10,9,2,9,1,1,10,11,10
出借人,4,4,2,2,2,2,4,2,2,2,1,1,2,0,1,2,3,2,2,3,1,1,3,4,3
借用人,23,21,6,8,1,13,23,5,3,5,2,0,6,1,0,6,9,12,5,18,1,0,16,17,10
帳戶,48,44,6,18,5,24,32,21,5,11,6,4,9,2,6,0,24,19,6,40,10,1,39,36,26
股票,56,52,12,25,8,29,43,17,10,15,5,2,10,3,9,24,0,23,8,45,10,1,44,40,34
不動產,63,54,9,24,9,52,40,24,4,22,13,2,9,2,12,19,23,0,10,45,12,2,39,49,29
投標,50,29,16,12,4,24,30,48,6,5,3,11,2,2,5,6,8,10,0,32,8,1,15,33,14
營業,180,154,18,39,11,74,121,77,13,21,8,12,9,3,18,40,45,45,32,0,29,2,134,130,61
執業,42,28,4,6,1,18,18,31,1,3,3,3,1,1,1,10,10,12,8,29,0,1,19,27,9
靠行,2,2,0,0,1,2,1,2,0,0,0,0,1,1,0,1,1,2,1,2,1,0,2,1,2
稅法,155,155,16,33,10,63,120,38,10,20,6,8,10,3,16,39,44,39,15,134,19,2,0,115,57
民法,186,145,26,56,10,71,120,72,12,41,12,11,11,4,17,36,40,49,33,130,27,1,115,0,72
信託,80,72,16,38,7,33,57,27,11,27,7,3,10,3,10,26,34,29,14,61,9,2,57,72,0
